,Unnamed: 0,text,category
0,0, spark google toolbar concern  website concern tool user select release people search engine pre commercial direct firm net google trial  autolink plate toolbar place address search mean position feature find come link competitive user webpage book isbn number say available provide carfax late dominant licence engine car market map like google concerned amazon give useful service amazoncom add site firm edge  base link autolink give website work page webpage contain specify create publisher information permission  bad autolink online welcome founder page toolbar library unfortunate mean direct feature find continue citizen web link beta disable modify tool rival user webpage grassroots button book isbn number view choose say click website time addition company medium entirely people advertising directly trial like google base idea amazon list support service amazoncom look stage dan feedback pay statement unique gillmor hypergrowth  digital word autolink know liberty page later cory raise objection end fronter direct doctorow feature smart net group web link receive civil trademark electronic concern tool force user penalise microsoft coordinator one choose course outreach substitute commercial sign proxy foundation say click website dominance want tag company allow people market criticise google widely new work use service fair revenue trick pay compare drop site european,tech
1,1, help drive ink democracy asia  invisible drive soviet ink multiple ultraviolet country republic mountainous small election reader voting state prevent  push different government require live optimism cause sector island ink upcoming presidential democracy election associate akaev agree decision law president fund effort parliamentary new reputation use expense population askar worry technology guard  push republic government reduce mid legislative reach embassy ink backslide deputy contribute referendum german election point transparent purchase foundation general branch see high chamber effort soros expert use open box commitment hastily ballot  actual ink person dry light thumb visible left complicate technology normal spray  echo hisher show enter light government neon republic recent georgia cause assume entrance group receive ink upcoming presidential ultraviolet finger significance election official factor pro prelude scan potentially perceive likewise leave great ballot change regime allow thumb ukraine large glow especially lamp refuse parliamentary kind autumn soviet yellow notably money use controversial verify station presence polling voter spray  metaphor agricultural widely ink primarily use mark article rural common practice society compare sheep circulate  drive sheer show aggressively coalition country article forward opposition world additional rumor cause varied afghanistan south begin step ink ultraviolet middle newspaper harmful election indonesia visible common important petition serbia laud type indelible great story radioactive numerous organization improper health author reader ignorance turkey invisible local problem use spread road non africa carry governmental  stay christian product country soft february forward get drink passage assure step ink effective week panacea finger election rumour associate serbia clear watch law difficult ill reader thumb islamic religion free parliamentary remove leader hour contrary widely reality example use clean fair population wash solvent cuticle schedule  mikosz david support work building non organisation society international ife profit democratic,tech
2,2, reach farmer peru web  help link poor peru provide wireless network hand technology computer centre community farmer  kilometre action scheme trend region price chancay project community north link water offer irrigation charge inhabitant valley aim -strong agricultural vital provide capital rural organisation lima student market information pilot date huaral benefit local coordinate enable infrastructure farmer telecom  network use telecentre year officially inaugurate source open affordable software september computer free making equipment  self include operator plan development government education generate technical land project centre irrigation skill study user year sustainable coordinator institution extra board ministry aim plot saldarriaga say take run telecentre organisation apply peruvian computer cash carlos information internet training cepes local new lesson social network non system cafe agriculture lead back farmer european  peru share coastal region organise area price world chancay project huaralorg find unite produce water necessary irrigation proper flagship inhabitant key valley saldarriaga element range help agricultural vital main website colleague topic late rest allow prevention precious information plague huaral local scarce network experience tell look system farming news farmer technique  peru plan man keen success place underline project train community young perfect attend -year session year key positive number clone promoter saldarriaga belong say vital provide great mainly time response see far organisation people computer pilot model life showcase training huaral cepes old equal feel experience spread involvement potential enthusiasm programme woman feedback thrust farmer excellent  testing test light dark dam generate buy build electricity community bulb equipment necessary researcher -family cuyo hydraulic technician power communication wait logical longer store saldarriaga morning happen wireless mini recall isolate cabin telecentre answer computer carlos cepes local sell network realise worth generator site construction order turn,tech
3,3, bug creative technology get  help offer art time creative require technical world tech dance  vice art hope world head sector centre tech come intimate shape form century connected institution corporate stone initiative versa help say focus understand frank launch telco organisation excellence provision model broadband grow idea set inspiration thirst creative look natural business programme cement technology infrastructure industry firm dance sponsorship  win art include cellar development april later bell madrid bafta exhibit rendering commonly arm virtual graphic sophisticated major installation initiative type story launch game telco mark create langlands international engine coudenberg model incubate base artist program open research brussels technology summer  complex reveal action coder flow keen behave feature relate rendering offer historical greater uncover bricke power think combine landscape designer architecture interactive past excavate video connection run model essential navigate base new physical work artist pervasive hundred collaboration consume technology historically expensive hope object urban senne abstract disappear immersive handle quake year recently remnant element modernity data create core city building conjunction planner add european digital world argue play total encounter century animator recreate river say time previous palace appreciate conceal present art development mean component virtual graphic survival street joystick understand integral want game equally license engine coudenberg maker intensive set tara experience seat order render  self expression expressionist web instance tool year street interactive installation phone picture thousand upload person creativity integral people photo create display give example orange enable technology exhibition message  drive economy art know online strategy try unleash borrow world house mean tech vein result net future technologist rich reach year put bring thinking big purely obviously stone patent say reason ask creativity understand london museum want company well people outside partnership create accord like broadband good idea grow penetration stake give solve problem way creative artist use potential fantastically business massive practice role technology cultural traditional seat industry gallery altruistic,tech
4,4, digital float sub- guru  say develop founder medium sale negroponte nicholas laptop mit chairman labs  digital hope development country education world project linux tool book ordinary need rear important panel child say run operating develop flat family laptop text like display base use device image village tell service system programme describe strip neighbourhood  digital gain manufacturer experiment make export concept component negroponte processor speed assemble child bestselling rid profit say fat part locally see publish recognise kit computer laptop venture second skinny home cost widely age give memory predict base use device money maine probably work small trick state slow ability  plan mobile get education popular end talk cheap discussion receive break teacher marketing resistance year spend wife negroponte common kid number ministry phone big child cambodia cherish ago distribute away china want game textbook telephone large laptop thing overhead nokia ambitious adapt claim school idea expect chinese sell set go work give quantity problem concede initially machine month cell order,tech
5,5, trojan seeking spyware microsoft  trojan software program microsoft anti spyware attempt switch firm investigate  security mail download manager attachment malicious attempt stephen bankash virus toulouse disable week tool user microsoft anti spyware call recommend delete trojan say believe send people widespread give use program warning suppress message release  online password keystroke user personal banking track steal information  security mail plan buy software cause sybari earlier performance find pop virus offer beta improve form week user microsoft target anti spyware aim call investigate help say currently up criminal window attack remove internet date maker set monitor use program advert statement pay slow release,tech
6,6, gadget great laptop apple  magazine great time powerbook mobile choose gadget apple  warrant notebook self include move andor specify define future layout magazine electronic inclusion contain walkman zenith choose number need compile portable help part time control computer laptop subset list remote device apparatus lightweight gadget sony  say magazine include mobile item general potentially  digital include try ipod mobile personal place pre popular radio end make kodak position casio magazine heart moment electronic successful multimedia number flash abacus phone recorder conclude apple video camera transistor diamound startac player date list new old brownie sextant device motorola tivo gadget sony chronometer marine  digital include virgin entry karl army nintendo hiss pez feature tamagotchi magazine egg dispenser contain scrambler number inside low swiss watch sweet say ask pulsar emenate gameboy surprisngly telephone knife player crystalline original free ronco forget like quartz plenty list elsener blast oddity madonna toy gadget sony bizarre shell  pda etc mobile subsume soon worry laptop phone  completely century time use boat revolutionise technological marvel chronometer navigation marine  way netmd minidisc pave explode player sony market net  work tool gadget computer laptop ,tech
7,7, microsoft releases bumper patch  security flaw late user system program fix microsoft update warn windows  security include affect malicious messaging flag design hole virus explorer user exploit fix number usual important writer delete bulletin manually leave unpatche flaw run remotely monthly medium change automatically window attack left player computer datum install internet instant consider program open vulnerable critical update release  security know plan manager unprotected buy software class follow stephen sybari hole rule come virus windows toulouse week attacker user announce exploit microsoft fix one important vulnerability say available leave flaw unpatche see company medium late release attack control messenger player home maker file use machine program business patch critical month firm spate,tech
8,8, china cafe culture crackdown net  say chinese country government close cafe month closing net authority  guideline government rule net limit step broke recently series official crack illegally take late close operate accord school chinese consider set use immoral agency cafe strict news  try unhealthy safe xinhua crackdown play young rule net limit environment october middle december official shut child tightly say type china away game dictate people elementary computer create influence hour school expose regulate use long agency cafe worry demand introduce violence month carry metre news  guideline highly mail sex country august government move software require follow world popular crackdown mean keep reporter report net overseas group visit user arrest hugely opening fire shut blaze kill law say website time china block develop high people control computer operate authority log hour permit porn home cost interception chinese relatively new censorship use clean cafe technology introduce site strict border demand hardware,tech
9,9, christmas mail pose virus  security windows electronic virus disguise card firm warn christmas  online mail malicious subject net virus receive zafi line anti greeting christmas help currently say person infect zafid sophos language translate speculate widely spread program multilingual firm ability  mail attachment software address malicious pose face web simply virus zafi electronic user despatch bug crude microsoft plunder christmas code window infect send travel like new bear use image outlook open victim card smiley message  mail try april pen software personally address head spain hoax subject virus south disable team zafi infected depend line think message year hand bulgaria hungary anti recommend writer final christmas say mikko prefer see happy merry send control original language italy translate holiday widely suffix firewall america hypponen body spread machine read open paper traditional appear card backdoor secure client,tech
